FIPS,Pop,Density,HH,pop_lt_5,pct_lt_5,pop_gt_65,pct_gt_65,MedAge,White,Pctwhite,Black,Pctblack,Hispanic,PctHispanic,PctImmigra,Unemployed,InLaborFocre,pct_unemployed,MdHHInc,PctVacant,PctHighSch,PctBA,PctGrad,Md_Value
470370110021 ,739,1600.768,272,54,0.073071719,120,0.162381597,40.9,456,0.617050068,276,0.373477673,0,0,0.069012179,59,464,0.127155172,73000,0.183183183,0.845303867,0.232044199,0.066298343,115900
470370110022 ,1868,1974.818,803,115,0.061563169,178,0.095289079,33.3,707,0.378479657,990,0.529978587,72,0.038543897,0.040685225,108,1059,0.101983003,31750,0.074884793,0.816129032,0.282258065,0.043548387,116800
470370111001 ,718,2092.296,280,12,0.016713092,83,0.115598886,46.2,525,0.731197772,13,0.01810585,0,0,0.142061281,7,500,0.014,63971,0,0.912280702,0.216905901,0.100478469,117000
470370111002 ,1215,3191.62,479,31,0.025514403,138,0.113580247,42.3,791,0.651028807,133,0.109465021,291,0.239506173,0.208230453,42,656,0.06402439,39712,0.077071291,0.74650913,0.157894737,0.038668099,117100
470370111003 ,783,1959.839,393,45,0.057471264,138,0.176245211,45,777,0.992337165,0,0,0,0,0.01532567,50,493,0.101419878,87969,0,0.935635793,0.530612245,0.35321821,117200
470370111004 ,959,3227.561,373,29,0.030239833,91,0.094890511,40.3,682,0.711157456,125,0.130344108,164,0.17101147,0.038581856,43,667,0.064467766,71992,0,0.876979294,0.31546894,0.123020706,117500
470370111005 ,669,3879.71,277,31,0.046337818,80,0.119581465,30.4,539,0.80568012,120,0.179372197,7,0.010463378,0,15,399,0.037593985,55781,0.028070175,0.88996139,0.455598456,0.138996139,118000
470370112001 ,604,4278.817,278,22,0.036423841,58,0.09602649,42.8,482,0.798013245,53,0.087748344,0,0,0.043046358,14,381,0.036745407,45938,0,0.8477842,0.352601156,0.06743738,118300
470370112002 ,625,3525.482,254,48,0.0768,49,0.0784,39.4,555,0.888,47,0.0752,5,0.008,0.0112,54,425,0.127058824,92813,0.180645161,0.93499044,0.565965583,0.187380497,119100
470370112003 ,800,3418.754,398,34,0.0425,111,0.13875,41.8,572,0.715,208,0.26,42,0.0525,0.02625,43,512,0.083984375,44853,0.059101655,0.909923664,0.367938931,0.152671756,119700
470370112004 ,489,2179.333,231,48,0.098159509,48,0.098159509,35.8,386,0.789366053,79,0.161554192,0,0,0.053169734,17,262,0.064885496,40469,0.16,0.783783784,0.513513514,0.110810811,120300
470370112005 ,538,2416.754,275,8,0.014869888,77,0.143122677,44.7,295,0.548327138,179,0.332713755,10,0.018587361,0,24,301,0.079734219,39821,0.132492114,0.820093458,0.168224299,0.037383178,120500
470370112006 ,821,3602.898,360,64,0.077953715,43,0.052375152,39.9,523,0.637028015,214,0.260657734,49,0.059683313,0.025578563,26,489,0.053169734,46944,0.168591224,0.891402715,0.257918552,0.138763198,120600
470370113001 ,481,1177.314,200,31,0.064449064,34,0.070686071,41.3,411,0.854469854,70,0.145530146,34,0.070686071,0.031185031,7,306,0.022875817,46563,0.033816425,0.80058651,0.134897361,0.082111437,120700
470370113002 ,1116,4408.799,438,31,0.027777778,174,0.155913978,38,265,0.237455197,843,0.755376344,0,0,0.007168459,107,780,0.137179487,43289,0,0.903002309,0.255196305,0.100461894,120700
470370113003 ,1161,5231.625,468,185,0.159345392,197,0.169681309,35.7,261,0.224806202,717,0.617571059,84,0.072351421,0.11627907,39,542,0.07195572,41800,0.139705882,0.780952381,0.261904762,0.154761905,121500
470370113004 ,1328,3517.965,413,94,0.070783133,33,0.024849398,29.3,1028,0.774096386,174,0.131024096,735,0.553463855,0.268072289,4,640,0.00625,32125,0.030516432,0.665463297,0.055354994,0,121700
470370113005 ,1063,5167.386,360,241,0.226716839,119,0.111947319,30.1,362,0.340545626,339,0.318908749,293,0.275634995,0.215428034,85,518,0.164092664,27451,0.207048458,0.557453416,0.118012422,0.02484472,121700
470370113006 ,471,2866.128,203,0,0,130,0.276008493,40.7,247,0.524416136,116,0.246284501,68,0.144373673,0.031847134,21,208,0.100961538,35750,0.22519084,0.420118343,0,0,122300
470370114001 ,1690,4768.186,686,74,0.043786982,195,0.115384615,32.3,509,0.301183432,1157,0.684615385,0,0,0,90,1022,0.088062622,33770,0.069199457,0.814523185,0.275590551,0.020122485,122400
470370114002 ,652,4213.254,342,116,0.17791411,54,0.082822086,29,303,0.464723926,349,0.535276074,0,0,0.027607362,96,359,0.267409471,20946,0.08310992,0.958429561,0.413394919,0.150115473,123500
470370114003 ,873,4513.904,282,49,0.056128293,104,0.119129439,31.3,419,0.479954181,454,0.520045819,0,0,0.033218786,7,577,0.012131716,71154,0.110410095,0.870827286,0.406386067,0.185776488,123600
470370114004 ,1106,5145.678,435,91,0.082278481,94,0.084990958,32.4,775,0.700723327,316,0.285714286,137,0.123869801,0.099457505,11,738,0.014905149,45174,0.074468085,0.922580645,0.428387097,0.058064516,124100
470370114005 ,355,3336.063,172,0,0,0,0,42.1,113,0.318309859,242,0.681690141,0,0,0,0,240,0,40455,0.355805243,0.961206897,0.36637931,0.112068966,124400
470370115001 ,656,2401.038,347,21,0.032012195,129,0.196646341,49.1,423,0.644817073,220,0.335365854,8,0.012195122,0.06097561,21,364,0.057692308,46875,0,0.819420784,0.339011925,0.144804089,124500
470370115002 ,1180,2610.017,560,69,0.058474576,146,0.123728814,39.5,943,0.799152542,217,0.183898305,30,0.025423729,0,48,745,0.06442953,46500,0.055649241,0.952535059,0.390507012,0.098166127,124900
